La Rambla,41.377625,2.1764727
El Park Guell,41.41348,2.1531093
El Gotic,41.383034,2.1770039
La Casa Batllo,41.391705,2.164946
El parc de Montjuic,41.361374,2.159711
La Font Magica,41.371197,2.1517797
El Camp Nou,41.380775,2.1228578
El Palau de la Musica Catalana,41.387333,2.1751573
El Passeig de Gracia,41.393963,2.1631851
El Museu Picasso,41.38515,2.1808345
El parc de la Ciutadella,41.38584,2.1860828
El Museu Nacional d'Art de Catalunya,41.368855,2.1533628
La plaça de Catalunya,41.386013,2.1694002
La Universitat de Barcelona,41.386547,2.1640124
La Catedral,41.384266,2.176157
El Palau Guell,41.379055,2.1744215
El Poble Espanyol,41.369118,2.1467245
Santa Maria del Mar,41.38375,2.1822069
El Tibidabo,41.418884,2.123285
La Fundacio Joan Miro,41.36826,2.160131
El Mirador de Colom,41.37578,2.1777782
La plaça d'Espanya,41.373943,2.1486924
El Castell de Montjuic,41.364433,2.167106
El CosmoCaixa,41.41327,2.1306581
L'Hospital de la Santa Creu i Sant Pau,41.41541,2.173942
La Casa Amatller,41.391582,2.1650949
LArc de Triomf,41.39105,2.180686
La Sagrada Familia,41.403942,2.17497
LAquarium ,41.376774,2.184366
El Gran Teatre del Liceu,41.380116,2.1733286
El CaixaForum,41.371296,2.149575
El Gran Teatre del Liceu,41.380116,2.1733286
El Zoo de Barcelona,41.386124,2.187169
La Torre Agbar,41.403446,2.1897974
El Museu de Cera   ,41.377098,2.1774426
El Born Centre Cultural,41.385643,2.1835678
